page,wID,wtitle,wsub,Link
2,净土三七,"三七各部分用法,一篇了解完全(建议收藏)","三七的主要使用部分主要是根和花,用法常用＂生打熟补＂来概括,＂生＂指生用,＂打＂指其具有止血破血、散瘀消肿,强心定痛耳朵功能:“熟”指熟用,“补”指其具有的补血理血,补益健身、提高人体免疫力的效用.记住:生吃侧重于活血,熟吃侧重于补血.地下部分(根)的用法:...",http://weixin.sogou.com/gzh?openid=oIWsFt7pekju40glo6uw6N6UonEU&ext=zMKRwhGG3zaGdXYl4pGUJDyK7o66QnbWcpAwip2GVz9MImbQ5ds8BGiy_Q9EN14L
2,云南光叔农业科技有限公司,中医专家:10种疾病的光叔三七使用方法,"三七别名金不换、田七、人参三七等.云南省文山州砚山县所产的三七质量较好,为地道药材.光叔三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗氧量等作用.光叔三七在...",http://weixin.sogou.com/gzh?openid=oIWsFt_M8y17gl5zBTCS2wqhqSlM&ext=zMKRwhGG3zaxZwqJ1rlVqX8SsMZdHf-muu2kLQPxL1lz76w9nUht0vEJy0CsbHWI
2,Goldvoice,"10种疾病的三七使用方法,看了分享给需要的亲人!","三七治病duersi三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗氧量等作用.三七在...",http://weixin.sogou.com/gzh?openid=oIWsFtxm5CgdM5Y26zwwn5YfS2Kc&ext=zMKRwhGG3zZpysDXn4B5i17XNKTfwenf8TSUMSgezOyJI3bNEQMVE-ZLbuPVNyov
2,礼邦生活馆,"【健康食材】三七的功效及使用方法,你不得不知道的秘密!","三七又有田七、血山草、六月淋等名称,是我国明代时著名的药物学家李时珍称它为“金不换”.三七是中药材行业中的一颗明珠,它主要产于云南、江西、广西、四川等地地区.三七具有治吐血,咯血,外伤出血,便血,胸腹刺痛,跌扑肿痛等多种功效.那么你知道三七正确食用方法吗?...",http://weixin.sogou.com/gzh?openid=oIWsFt6Rg9MZXLPmCtUuVFnWYDys&ext=zMKRwhGG3zZGqvnVl46pVzAUqWJdDL1WaReGZw0Hi04XUAn4ldR7-kCQ_CMs1Gp6
2,陕西东骏达,"饮茶吃花,风雅养生——三七花的功效及用法","三七花又称田七花,性凉、味甘微苦.采摘自未开的三七花蕾,每年6—8月采摘,经清水洗净,再由自然阳光充足曝晒而成,晒干之后常年备用.三七花不仅可泡饮,还可烹调美食,今天苗乡小编就给大家系统普及一下三七花的相关知识.【功效】清热、平肝、降三高、镇静安神、养生抗衰,...",http://weixin.sogou.com/gzh?openid=oIWsFtyLP7TpuBhHsekuKtBDh8NU&ext=zMKRwhGG3zYkyArB-n4ZSbj_1NHAZjD1nXewdIesgw1Xgd6c07pw0etuBqb7QT6t
2,森博三七田七,三七片的用法,"三七片和三七是一样.使用方法也是一致的.你只需要取三七片2~3片放入杯中用热开水冲泡当茶喝就可以了. 三七片的用途1:三七有“止血神药”之称,具有散瘀血,止血而不留瘀神奇功效,对出血兼有瘀滞者更为适宜.其具有较强的止血作用,对不同动物,不同给药途径,甚至不同制剂...",http://weixin.sogou.com/gzh?openid=oIWsFt_UPbV2X2jQPaQe3Guby1YU&ext=zMKRwhGG3zYbpxxd-gzUX326iq8UC6d9UX_b3qVYYe5UlKp1ZPzzWFtHxqJ5XUST
2,全民营养师,中医专家:10种疾病的三七使用方法,"关注小编互动微信号:hjj605719228三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗...",http://weixin.sogou.com/gzh?openid=oIWsFtx8COtR4VK865dlz6Y2E3aE&ext=zMKRwhGG3zbORy7qvEpYH2SsBwLJGElCRn4wPZ-JfOcnUPCTuMpNT01R7lGurrgS
2,xyy雪域源虫草,中医专家:10种疾病的三七使用方法,"三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗氧量等作用.三七在防治心脑血管及...",http://weixin.sogou.com/gzh?openid=oIWsFt-aOnqDkpD5msvw2xMSBggc&ext=zMKRwhGG3zYegV_YNJmpDBSureCIsoBOrPGws26_NUw8Te6zkfqnQJ2Njl7yyfUQ
2,玛卡石斛批发,"10种疾病的三七使用方法,看了分享给需要的亲人!","三七治病duersi三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗氧量等作用.三七在...",http://weixin.sogou.com/gzh?openid=oIWsFtzP8HvN2DQUVdQhhzJ7ofw4&ext=zMKRwhGG3zbLLEoCLpBlMCB4NDlMmagFuBynNjj0WdoUZqSgjlq72rqL4qtAnKiD
2,云南岐黄生物科技有限公司,"三七(田七粉,金不换)的功能,用法,禁忌,功效","导读: “三七粉”是植物三七(学名:Panax pseudo-ginseng)的根茎制品,是用三七主根打成的粉,是云南白药的主要成分.别名:田七粉,金不换.产自于云南文山,有称北人参,南三七.人参补气第一,三七补血第一.一直以来,三七都是一味非常好的中药材.一般外伤时医生会建议...",http://weixin.sogou.com/gzh?openid=oIWsFtx6UBtcp8xw-8URa6duqT_U&ext=zMKRwhGG3zZUj64-3gjZ7ON8QhubAg3r4HTF7RZzvTHNZCzdJDBm3psS5AA2MTkn
3,冠雄健康管理团队,值得收藏!三七的用法及禁忌,"三七性温、无毒,归肝、胃经,长期服用没有副作用,因为性温,也不会伤胃,而且好处多多,好归好,但它毕竟是属于药物,如果你是用来治疗什么病症的话,请你咨询医生使用,如果作为一般保健品使用,你只要注意以上几点就可以放心长期服用三七粉了.三七粉的常见用法止血直接用三...",http://weixin.sogou.com/gzh?openid=oIWsFt8DFhH1yij3RfYrd5HDoPcM&ext=zMKRwhGG3zb6DYih3OwohUOwaIYYMwR6RuFb-c8g_Yvkqt0OEIfYBEFJeLuYHa0u
3,逸成教育,[]三七的用法 三七粉配合当归粉效果好,"【导读】三七的用法有哪些,三七粉配合当归粉效果好,常年食用当归粉能明显改善体内缺血的症状,改善头昏、心慌、乏力的症状;能活血、行血,治疗关节的疼痛;能养血、润肠、通便,治疗便秘;能调经,治疗各种妇科病,白带稀、多时吃全当归,白带发黄时吃当归尾;当归治疗血虚的...",http://weixin.sogou.com/gzh?openid=oIWsFt0wqMx0JUm_wYRjd3FrU01U&ext=zMKRwhGG3zZqldHflvFb0OY3JPBFd94-gNRfN3BDWGXSaeJCWSRYGuia6I4_NBrJ
3,医者仁心,"三七(田七粉,金不换)的功能,用法,禁忌,功效","三七粉(田七粉,金不换)的功能,用法,禁忌,功效 “三七粉”是植物三七(学名:Panax pseudo-ginseng)的根茎制品,是用三七主根打成的粉,是云南白药的主要成分.别名:田七粉,金不换.产自于云南文山,有称北人参,南三七.人参补气第一,三七补血第一.一直以来,三七都...",http://weixin.sogou.com/gzh?openid=oIWsFtzFjCj63P22T6QoE8efbs4k&ext=zMKRwhGG3zZJDY74xaLjHTzQFij4-JlMTSLRzhKF_Vlrk6vXnLSULUO2UfyvnyC6
3,maka886,质优三七的识别及用法,"一、春三七和冬三七区别春三七和冬三七这是以采收季节来区分的.在结籽之前采收的为春三七,结籽以后采收的为冬三七.春三七的品质为佳,个体较大.体重、色好、光滑、坚实而不空泡者为最好.冬三七绉纹较多,质松轻泡,质量次之,成分含量和价格差距较大. 二、外表和断面判断质...",http://weixin.sogou.com/gzh?openid=oIWsFtx4oq0JJu01wmwNxWrbTIVY&ext=zMKRwhGG3zatuTkcPrY310gYvl4WLtnLgecswznD2lRuA6Z1q-DnxQORgE3SE83v
3,同兴堂,值得收藏!三七的用法及禁忌,"三七性温、无毒,归肝、胃经,长期服用没有副作用,因为性温,也不会伤胃,而且好处多多,好归好,但它毕竟是属于药物,如果你是用来治疗什么病症的话,请你咨询医生使用,如果作为一般保健品使用,你只要注意以上几点就可以放心长期服用三七粉了. 三七粉的常见用法 止血直接用...",http://weixin.sogou.com/gzh?openid=oIWsFt5xwEtg8JbO6EEa18iXsTSA&ext=zMKRwhGG3zaOPXueChqCz_SDuYswrAuvzGQIUurVJNdDlEQWANFVgfYAbqvbihYH
3,瑞浩微商城,三七的常见用法及三七禁忌,"症状轻微,这是由于三七粉的活血功效起作用的表现,一般都很快消失. ●2、月经期间不宜服用三七粉,三七粉活血化瘀是第一圣药,月经期间服用,易导致出血过多,但如果是血瘀型月经不调,则可以用三七粉活血化瘀来调理月经.  如果想了解更多的三七用法与功效,请关注公众微信: ...",http://weixin.sogou.com/gzh?openid=oIWsFtzCW4lWZGDf44lwYUNqHA9A&ext=zMKRwhGG3zZzFJ3h9J-b2outZOpvbVme_QlRfLougLqojRjJajcjzgxbCagj0sRt
3,精诚中医,三七用法大全,"【新朋友】点上面小字:精诚中医,快速关注【老朋友】点右上角按钮,分享到朋友圈 现代研究表明,三七的有效成分是按照有机的比例构成,可算是自然界的完美之作.因此三七单方使用亦可取得良好效果,如果与其它药材、食材配比烹制,则更能行“神龙”之妙,衍生出诸多功效显著的验...",http://weixin.sogou.com/gzh?openid=oIWsFt5pfiNLR9NF-e--QSmL8YEw&ext=zMKRwhGG3zZY6QD1pHCNxzt4QMMNNe1AvZ6OAiOdiODWF0f3qVXftF0xDUcT6LjD
3,尚道堂,【中华特产】10种疾病的三七使用方法,"微信公众号:shangdaotang 三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗氧量等...",http://weixin.sogou.com/gzh?openid=oIWsFtxNwpcqEW1o17gYkNTaBVbM&ext=zMKRwhGG3zaEqEq508YP8IoxQ5vrX4_w9i4BvtYzJdKkYEm-UOLGgGjvAHMsK5zp
3,王振涛大夫,10种疾病的三七使用方法,"三七别名金不换、田七、人参三七等.云南省文山州所产的三七质量较好,为地道药材.三七味甘、微苦,温,归肝胃经.既有散瘀止血,消肿定痛之功.据现代药理研究发现三七含有多种三七皂甙、黄酮甙和生物碱等,有明显的扩血管、降压及改善心肌耗氧量等作用.三七在防治心脑血管及...",http://weixin.sogou.com/gzh?openid=oIWsFt08AxR_7lVDuKdA5ePizaFY&ext=zMKRwhGG3zanWMj3_Nmi066l57hRR7VjhGwjvaI_oSzf6Z9jyG8haRQ_EyzroQjl
3,君元沉香,三七养生最补用法:太全了!!!,"茂名君元在云南文山有几千亩的三七种植基地,其三七产品畅销海内外.科学家普遍认为三七是清除自由基的超人、是血管的王牌清道夫、是提高免疫力的王者、它的镇痛能力仅次于吗啡!云南文山三七粉拥有无可匹敌的治百病功效!无论是西医还是中医都对它景仰万分! 欢迎咨询抢购热线零...",http://weixin.sogou.com/gzh?openid=oIWsFt5xMU-XKb_Wc22z5eHQ_WuE&ext=zMKRwhGG3zZinfPQWy72_hKd-8XqmPvRIB4VYZRp4mycC_n0ZaZ0o6hr8dA6R_9E
4,文山福万家,三七九大功效及用法,"合成,强身健体;三、促进血液细胞新陈代谢,平衡调节血液细胞;四、双向调节中枢神经,提高脑力,增强记忆能力;五、增强机体免疫功能,抗肿瘤;六、止血、活血化瘀;七、保肝、抗炎;八、延缓衰老;九、双向调节血糖、降低血脂、胆固醇、抑制动脉硬化.三七用法及用量:1、跌...",http://weixin.sogou.com/gzh?openid=oIWsFt_EMV4Q3ZhtwyFhWycs7JzI&ext=zMKRwhGG3zZfoLUEwsAIAJnLTDvvMJuLjPQFMDFGGX3vhC4QSQBunPcCidqKEqI1
4,我爱生活,"名贵药材—三七的各部分用法,一篇全了解(一定要收藏)","地下部分(根)的用法:(生吃)1. 三七主根打粉,温开水冲服,可加入蜂蜜等糖类调味,一次2-3克 ,每日 2~3 次.2. 三七主根打粉,取2-3克与150ml鸡汤或与其它汤类搅匀食用.3. 新鲜三七切片或干三七片泡入蜂蜜中,半月后即成三七蜜.每次取适量温水冲服,或掺入粥中,或取三七片直...",http://weixin.sogou.com/gzh?openid=oIWsFt3lcSVbkDDZ49YW01X-xJRU&ext=zMKRwhGG3zY3tEYXshRcvFVCnqewbipCJi7WYQOSpHIfRjpcStRceijlVZb0OwD9
4,烟台仁济大药房连锁医药有限公司,三七粉用法大全尽在烟台仁济大药房 烟台仁济大药房十九店赠鸡蛋火爆进行 三七买三赠一瓶丹参粉 买五赠二,"三七代茶饮,人人都是张仲景正所谓“一物降一物”.世间万物都有自己的“克星”.“高血压、高血脂、高血糖”的“克星”就是三七粉.它具有良好的降胆固醇的功效,也是“三高”人群的福星.我曾经为一位和尚看过病,他常年云游四方,参禅修学,虽然一身褴褛,但神态庄严.我为他...",http://weixin.sogou.com/gzh?openid=oIWsFt0eCmWQqnOC5kESIFGHJHcc&ext=zMKRwhGG3zax2qOwfU3pBt6ZFB6n6spjm-feMnrRXeiU-Eu0pRTHetq_iGzDnW8-
4,禾之瑞三七,三七花最有效的用法和春季养生功效,"三七花用法用量1、三七花最常见的用法:少量文山三七花(3-5朵)直接用开水(200ml)冲泡,具有清热、护肝、降压、镇静安神的功效;2、少量文山三七花(3-5朵)与适量青果一起用开水冲泡,能够治疗急性咽喉炎;  3、10克文山三七花、四个鸡蛋、先用花和鸡蛋煮10分钟,然后将鸡蛋...",http://weixin.sogou.com/gzh?openid=oIWsFtxxF3OBk9FMlNmyjnbqtjUI&ext=zMKRwhGG3zZFDjjfpjUIM9qJS_eEIlJBGL-rH4R-08zlNvF5tyew7-FXicZTaoIx
4,玛咖石斛批发,"饮茶吃花,风雅养生,三七花的功效及用法","点上方蓝色玛咖石斛批发订阅.点右上角分享玛咖石斛批发 微信号:maka_pifa玛咖石斛批发平台,微商代理招募热线:18398662811 13568305977三七花又称田七花,性凉、味甘微苦.采摘自未开的三七花蕾,每年6至8月采摘,经清水洗净,再由自然阳光充足曝晒而成,晒干之后常年备用....",http://weixin.sogou.com/gzh?openid=oIWsFtwylC3Y1jqIqo_qxNYM315c&ext=zMKRwhGG3zY6LyrfSEEbN9g5ObYj8c__FN4uH4-lw-CHlmp7VyvSyOwQtqqbDgTr
4,宏心永康健康生活,"【三七批发】饮茶吃花,风雅养生,三七花的功效及用法","低血糖患者 不建议使用三七花,但可以使用三七根部产品,三七根有双向调节血糖的作用,尤以熟三七粉效果最佳.此外,不建议三七花和其它花、茶一起饮用,三七花单味使用效果最好,如果不习惯它苦凉的味道,可以适量冰糖或蜂蜜调味.【食用方法】三七花的用法,民间常作茶饮用,所...",http://weixin.sogou.com/gzh?openid=oIWsFt1dVisgqQjPy_ycSBo4aIZ0&ext=zMKRwhGG3zarsqQHrF1leRZccxRAnocfivYnu5BRT7-PG8GYlArxFBOoR61dlymL
4,广南铜鼓文化,三七各部分用法,"地下部分(根)的用法:三七主根打粉,温开水冲服,可加入蜂蜜等糖类调味,一次2-3克 ,每日 2~3 次.三七主根打粉,取2-3克与150ml鸡汤或与其它汤类搅匀食用.新鲜三七切片或干三七片泡入蜂蜜中,半月后即成三七蜜.每次取适量温水冲服,或掺入粥中,或取三七片直接嚼食.新鲜三...",http://weixin.sogou.com/gzh?openid=oIWsFt__93vVz0YkHcEwU9iTA7DM&ext=zMKRwhGG3zZyYAOZMCYSoN5H3Cwm51JnHuvhfxlfVTl96OsItQ0P_kpmP3JG-jyB
4,陌小铺,三七用法用量及注意事项,"用法用量内服:煎汤,1.5~3钱;研末,0.5~1钱.外用:磨汁涂、研末撒或调敷.注意事项孕妇忌服.①《本草从新》:能损新血,无瘀者勿用.②《得配本草》:血虚吐衄,血热妄行者禁用.③首先对三七过敏的人群不宜服用三七粉,但对三七过敏的人很少.④不可过量,用于日常保健,每...",http://weixin.sogou.com/gzh?openid=oIWsFt4Rb7El2FDB_QlYcj8SkvOY&ext=zMKRwhGG3zbfrP6xF9Q4LHc8DD7Q6NynRQxngcPamrjYBcmc-g36H4kxSSZCABp1
4,安防百事通,三七的用法 三七民间药用偏方,"三七的用法有哪些,三七民间药用偏方,下面由小编为你介绍.三七一般茎高30-60cm.主根粗壮肉质,倒圆锥形或短圆柱形,外皮黄绿色或黄棕色,有数条支根.根茎短,茎直立,光滑无毛.掌状复叶,具长柄,3~4片轮生于茎顶;小叶3~7,椭圆形或长圆状倒卵形,边缘有细锯齿.伞形花序...",http://weixin.sogou.com/gzh?openid=oIWsFt6E3pKMfyl6SwOuB_I8NtAo&ext=zMKRwhGG3zYzxPDSx0eOxH6kUvGkywCLXAIP5dqdQUR7zJHDLY14IAo9tPGkFUv1
4,养生有道,三七的功效及用法!,"现代研究也发现,三七具有提高机体免疫力,抗疲劳的功能,陈教授建议说:30岁以上有色斑的人,每次用1到3克的三七粉,把它兑在牛奶或者是白水里面服下去,久而久之就会起到意想不到的效果.一、简介 三七,别名:田七,金不换.产自于云南文山,有称北人参,南三七. 人参补气第...",http://weixin.sogou.com/gzh?openid=oIWsFt2irlDEoePcs9lpbHFnW0IA&ext=zMKRwhGG3zYmQSH0bqI5JbEmLgSXaQPMkAzbjcAADHWLtt8zQI5RViE2dRmQTxIi
5,净土三七,"三七的常见用法及三七禁忌,值得珍藏!","三七性温、无毒,归肝、胃经,长期服用没有副作用,因为性温,也不会伤胃,而且好处多多,好归好,但它毕竟是属于药物,如果你是用来治疗什么病症的话,请你咨询医生使用,如果作为一般保健品使用,你只要注意以上几点就可以放心长期服用三七粉了. 三七粉的常见用法 止血直接用...",http://weixin.sogou.com/gzh?openid=oIWsFt7pekju40glo6uw6N6UonEU&ext=zMKRwhGG3zaGdXYl4pGUJDyK7o66QnbWcpAwip2GVz9MImbQ5ds8BGIY505udgam
5,上海九和堂,三七的常见用法及三七禁忌,"全文导读三七性温、无毒,归肝、胃经,长期服用没有副作用,因为性温,也不会伤胃,而且好处多多,好归好,但它毕竟是属于药物,如果你是用来治疗什么病症的话,请你咨询医生使用,如果作为一般保健品使用,你只要注意以上几点就可以放心长期服用三七粉了. 三七粉的常见用法 止...",http://weixin.sogou.com/gzh?openid=oIWsFtzC0ycS0_NfiSDT0tEy6O4Q&ext=zMKRwhGG3zbCtAMcauUycuR-ggSelwcR5KO6OgNzJQ9sTOiIiPSzh66o5uZ3xCR9
5,映象文山,2015年4月12日文山三七市场价格 (附三七各部分用法),145元左右\斤40头:115元左右\斤60头:90元左右\斤80头:85元左右\斤120头:70元左右\斤无数头:60元左右\斤剪口:95元\斤大根:60-70元\斤干三七根:30元左右\斤两年短柄花:95元左右\斤三年短柄花:110元左右\斤活七(湿三七):15元左右\斤三七各部分用法来源:苗乡三七地下部...,http://weixin.sogou.com/gzh?openid=oIWsFt5nIwZTLKuRLABlnF--Duow&ext=zMKRwhGG3zZ44m7G59aDoc642r2v1D6EP0o7QIlVP8B91rDUR-98eQpFcfJB0RJd
5,云南吉源珍品,"三七各部分用法,一篇了解完全(建议收藏)","地下部分(根)的用法:三七主根打粉,温开水冲服,可加入蜂蜜等糖类调味,一次2-3克 ,每日 2~3 次.三七主根打粉,取2-3克与150ml鸡汤或与其它汤类搅匀食用.新鲜三七切片或干三七片泡入蜂蜜中,半月后即成三七蜜.每次取适量温水冲服,或掺入粥中,或取三七片直接嚼食.新鲜三...",http://weixin.sogou.com/gzh?openid=oIWsFtz7LoSPpGeEgerseRxq1C-U&ext=zMKRwhGG3zafOOUUPKkvBi4paUJCgPvcb5Tjm5Z4s8xTBE4Y7je-2WqgKzkezvT0
5,藏真堂冬虫夏草,藏真堂养生小课堂——三七用法用量及配伍禁忌,"1、处方用名  三七粉、参三七、田七、三七片.  2、性味功用  (1) 根:甘、微苦,温.生用止血散瘀、消肿定痛;熟用补血、活血.用于吐血、咯血、衄血、便血、崩漏、产后血晕、瘀血胸腹刺痛,跌扑肿痛、外伤出血、肿痛、贫血、虚弱、月经不调.  (2) 叶:辛.止血、消肿定痛.用于吐血...",http://weixin.sogou.com/gzh?openid=oIWsFt4z2CHFWVZvJpBkG-2pu3VE&ext=zMKRwhGG3zYSeTs3qps1-jMQW1rzkixPSNfVsT_oROI1bkhpehSc20FJeLuYHa0u
5,云南岐黄生物科技有限公司,"饮茶吃花,风雅养生——三七花的功效及用法","【前言】三七花又称田七花,性凉、味甘微苦.采摘自未开的三七花蕾,每年6—8月采摘,经清水洗净,再由自然阳光充足曝晒而成,晒干之后常年备用.【功效】清热、平肝、降三高、镇静安神、养生抗衰,生津止渴,提神补气、增强人体免疫力.【适用人群】1、长期失眠者 白天感觉疲倦...",http://weixin.sogou.com/gzh?openid=oIWsFtx6UBtcp8xw-8URa6duqT_U&ext=zMKRwhGG3zZUj64-3gjZ7ON8QhubAg3r4HTF7RZzvTHNZCzdJDBm3jjJ_rrnOEIa
5,笔耕春秋,云南三七的用法及疗效​,"三七花的用法与功效:三七花又称田七花,是三七全株中三七皂疳含量最高的部分.具有镇静安神,抗炎镇痛,降血压等药理作用,常用于治疗高血压,偏头痛,失眠等症.具有清热解毒,平肝明目,减肥,降血脂,降血压,消炎,止血,止痛,抗癌,养生抗衰,增强人提免疫力功能等功效....",http://weixin.sogou.com/gzh?openid=oIWsFt99GWfhiNnf6RLFGPAxCB-Y&ext=zMKRwhGG3zYMd7r6pSCumOcws-6IW4Fo_udB80uZoOl_aTitwHADLgDnF7Yj_kSE
